user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,source,is_retweet,hashtags
Blood Donors India,"Mumbai, India","Focused on matching blood donors with those in need. No followers here, only contributors. Spread the word, help save lives. We save 8/day.",23-12-2008 07:55,1215920,2047,19359,TRUE,25-07-2020 12:26,"#Kolar
Need #Blood Type :  B-positive
At : Jalappa Hospital
Blood Component : Need Plasma from B+ve #COVID19 recove… https://t.co/XtgxULc02Z",Blood Donors India,FALSE,['vaccine progress'] 
Tetra Tech International Development,Working in 175+ countries,A leader in #GlobalDev. We work to improve livelihoods worldwide thru locally driven #sustainable #solutions. Posts by @TetraTech’s Int’l Dev team,06-08-2010 19:09,20699,458,2680,FALSE,25-07-2020 12:26,"Our Munitions Response Team in #BosniaandHerzegovina modified ops and adopted masks, disinfectants, and sanitizers… https://t.co/lMbKXlw1wQ",Twitter Web App,FALSE,['vaccine injection']
beatnikgeek the soothsayer,"Manhattan, NY","These days, I expose colonizers & exploits @ the subatomic level e.g., Unlimited profits is the only acceptable profit margin.",23-02-2008 19:02,86,259,9412,FALSE,25-07-2020 12:26,I can imagine the same people profiting off the human suffering of #COVID19 will be studying these maps to make 207… https://t.co/NElsmGju2H,Twitter for Android,FALSE,['wash hands']
Mugilan Chandrakumar,no e-pass to cross borders...,"Journalist/Stay Grounded/ RT's are not Endorsements/ Views are Personal/Coimbatore❤/Chennai.


*Then they came for me-and there was no one left to speak for me*",12-06-2011 18:18,8205,1083,32076,FALSE,25-07-2020 12:26,"#TNCoronaUpdate

#TN crosses 2 lakh mark and 1,50,055 ppp has recovered so far.

#COVID19 positive today 6988/total… https://t.co/QdJkpcc7qv",Twitter for Android,FALSE,['vaccine injection']
🏎🚒🚨☎️⚖️☎️📩📥📧 TAX Reform, I ♥️ I ♥️ I ♥️ I,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,06-12-2019 14:42,28,1449,1196,FALSE,25-07-2020 12:26,"@ratasjuri TAX Reform

Tax-free minimum:
For a company of five hundred thousand euros per year.

Tax-free minimum:… https://t.co/gD0Q6ujjbl",Twitter for iPad,FALSE,['China news']
Ms Paz,United States,,15-09-2019 18:10,127,974,30217,FALSE,25-07-2020 12:26,#FEMA acknowledges #PuertoRico lacks rebuilt homes and a hospital to survive #COVID19  https://t.co/PLXqKc5K5d,Twitter for iPhone,FALSE,['wash hands']
V2Cinemas,"Chennai, India",V2Cinemas is one of the leading entertainment portal. The reliable destination for Tamil & Telugu movies. HelloV2cinemas@gmail.com https://t.co/8Kakji1WCV,14-09-2014 03:37,55589,548,10526,FALSE,25-07-2020 12:26,"Actor @VishalKOfficial and his father Mr.G.K.Reddy tested positive for #Covid19 15/20 days back..

While #Vishal 's… https://t.co/V5Lo8NRLWY",Twitter for Android,FALSE,['Mask shortage']
Beautify Data,"Miami, FL",We beautify data to learn and gain insight from data quicker.,18-02-2019 17:11,82,92,1152,FALSE,25-07-2020 12:26,"An update on the total #covid19 cases, recoveries, and deaths reported in countries in #Africa.  See the total numb… https://t.co/eqCJ3EhwRi",Twitter Web App,FALSE,['wear mask']
Alan Taylor,"British Columbia, Canada",Lifetime learner and traveler. The only asset in life is time.,11-03-2012 21:21,54,422,1392,FALSE,25-07-2020 12:26,@unionwill @megawedgy @jjhorgan “Regarding the community outbreak of #COVID19 on Haida Gwaii: 13 cases (one recover… https://t.co/rJzuY60qY7,Twitter for iPad,FALSE,['wear mask']
The Bishop's Table Hotel,"Farnham, Surrey","Step off the beautiful West Street, Farnham, into the peaceful tranquility of our recently refurbished family owned Grade 2 listed Hotel.

Tel: 44 (0)1252710222",01-02-2010 08:54,387,195,26,FALSE,25-07-2020 12:26,"A safe place to visit? Here is what our guests said, ""The hotel were meticulous in applying hand sanitation and als… https://t.co/PVCji8s1Eg",Twitter Web App,FALSE,['wash hands']
Higher Health South Africa,South Africa,Higher Health is dedicated to promoting the health and wellbeing of nearly two million students in the post-school education system.,23-05-2014 06:18,1934,247,722,FALSE,25-07-2020 12:26,"Our CEO @RamneekHH live with @SASCO_Jikelele WSU talking about, “The effects of Covid-19 on students”.… https://t.co/VMN2LxHAds",Twitter for iPhone,FALSE,['N50']
harleyb,Deep Heart Texas,"Inquisitive; Open minded but clear-eyed; Unapologetically Democratic; 
Law-abiding, true crime junkie.💛",03-02-2014 01:23,6156,5463,193090,FALSE,25-07-2020 12:26,@NicoleKowalski5 @chrisdameanor19 I'm feeling a little anxious because #COVID19 seems to have detracted everyone's… https://t.co/A3mHdXamLg,Twitter for Android,FALSE,['China news']
WASH FOR HEALTH,,Tweets (by WHO team) in support of #washinhcf @WHO & @UNICEF recommendations. Views expressed here do not necessarily represent @WHO @UNICEF,20-08-2015 08:53,1657,823,2008,FALSE,25-07-2020 12:26,Actionables for a healthy recovery from #COVID19 #climate  https://t.co/crGlKZOz5Z,Twitter for iPhone,FALSE,['3M9501']
Mr Gazz,"Dorset, UK","European citizen, educator. Proud Dad. Fan of Spurs & England Rugby, ex IT analyst. Tweeting equality, Tech, Pi, food, Learning, music, comedy and more.",25-08-2010 13:01,1416,1637,46021,FALSE,25-07-2020 12:26,"@jfoster2019 @bbclaurak Well #BorisJohnson might have understood more if he hadn't missed #5COBRA meeting #Five 
In… https://t.co/mQPAgCYGn2",Twitter for Android,FALSE,['China Coronavirus Updates']
ASHP,"Bethesda, Maryland",ASHP — Representing #pharmacists who serve as patient care providers in acute and ambulatory settings. #MedicationExperts,15-09-2009 19:52,32008,3763,7862,TRUE,25-07-2020 12:26,"We released two new #COVID19 podcast episodes this week:
-Technology Platforms Used to Conduct Telehealth Visits
-C… https://t.co/G94VeYVCzk",Twitter Web App,FALSE,['N50']
Aishling Sheridan,"Cavan, Ireland",Athletic therapist and trainer ✌️ Cavan ladies ⚽️ Collingwood AFLW #14. ambassador @lidlireland. enquiries contact jason@crosscoders.co,21-12-2011 18:19,1136,484,2002,FALSE,25-07-2020 12:25,"#PlayYourPart in the fight against #COVID19 . Each one of us can make a difference in containing the spread, lets… https://t.co/fRzLgrS8Qf",Twitter for iPhone,FALSE,['3M8210'] 
Matthew McGee ⴵ 🌍🇪🇺🇬🇧🎭🎞📚,A UK I no longer recognise,"I am a man, and nothing human is alien to me. Arts. Education. Politics. Environment. Anti-Brexit. Think for yourself, act for others. Ubuntu.",07-12-2011 11:16,3113,3086,221545,FALSE,25-07-2020 12:25,"Britain didn't understand #Covid19 for months, while plenty of other countries did understand it and took effective… https://t.co/KV2CAQ6skZ",Twitter for Android,FALSE,['3M9501']
N I C TA S H ♍,"Port Elizabeth, South Africa",I.G: @nictash_tash,28-04-2016 09:05,481,308,1120,FALSE,25-07-2020 12:25,Volume for those at the back please. 🔊 #COVID19 https://t.co/d0pn2Bv2Hx,Twitter for Android,FALSE,['Coronavirus updates']
TOI Delhi,"New Delhi, India",Your city. Your neighborhood. Your block. Covered for you by https://t.co/VSKi1mkZBr,13-04-2009 13:00,52186,41,74,TRUE,25-07-2020 12:25,"#Delhi reports 1,142 #COVID19 positive cases and 29 deaths on Saturday. Death toll rises to 3,806, reports ANI quot… https://t.co/JxsVpWMRQS",TweetDeck,FALSE,['rules']
🏳️‍🌈Heath Walker🏳️‍🌈,"Larose, LA",Single 🏳️‍🌈GAY🏳️‍🌈 Indy Lib #HowieHawkins2020 #MedicareForAll  #RankedChoiceVoting #GreenNewDeal #OpenPrimaries #JusticeDems,27-07-2012 13:54,594,1012,37279,FALSE,25-07-2020 12:25,"@realDonaldTrump Venezuela's Economy/Budget are tied to Oil like Louisiana's. Funny how the right-wing ""example"" of… https://t.co/qvHvKlTbbv",Twitter for Android,FALSE,['rules']
Dr. K. Surender Raj,chennai,"DMK Cuddalore Dist. Students Wing Joint Sec.
MD @ KSR REALTY, Property Developer",05-04-2020 12:01,152,885,1496,FALSE,25-07-2020 12:25,"#TamilNadu | #COVID19 |  25th July

●  TN - 6,988 (Highest Spike)

●  Total Cases  - 2,06,737

●  Chennai - 1,329… https://t.co/X8zgUzC0Gr",Twitter for iPhone,FALSE,['3M8210'] 
Los Pepes,Nairobi,,23-04-2016 07:39,610,1446,3280,FALSE,25-07-2020 12:25,"Why has Ruto not eulogisied Mkapa!! 
Asking for Moses Kuria 

Raila 
#RutoSwindlingGEMA 
#COVID19",Twitter for Android,FALSE,['traffic']
Wanda Warwick,worldwide,"Travel Tweets from a Worldwide Traveller - 110 countries. Blogger & Travel writer.
https://t.co/HaJAWMUzA5",01-09-2016 13:00,510,276,156,FALSE,25-07-2020 12:25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/0MCEUERQ74",TweetCaster for Android,FALSE,['USA']
Horace Hamilton,Scotland,"The best laid schemes of Mice and Men 
often decay into ruins - So it's good to have a laugh now and then",01-08-2014 11:42,798,689,183,FALSE,25-07-2020 12:25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/AkxvIaD1Pr",TweetCaster for Android,FALSE,['traveling']
HelloHealthy,,,23-11-2012 05:38,951,291,155,FALSE,25-07-2020 12:25,"#TamilNadu | #COVID19 |  25th July
●  TN - 6,988 (Highest Spike)
●  Total Cases  - 2,06,737
●  Chennai - 1,329
●  T… https://t.co/ZWFKJwZdEo",Twitter for Android,FALSE,['U.S. Coronavirus Updates']
Gus McPop,Australia,Love Australia Fair and all things Australian,06-06-2014 22:26,580,551,100,FALSE,25-07-2020 12:25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/Ifse0whbVE",TweetCaster for Android,FALSE,['rules']
Tom J,UK,"Not a Coffee expert, Pseudo Social Media Expert, Twitter-maniac, Internet advocate, Corporate Music aficionado or Wannabe entrepreneur.",06-06-2014 21:38,749,666,143,FALSE,25-07-2020 12:25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/dx8Yt7CvsM",TweetCaster for Android,FALSE,['COVID19']
Sarah Smith,San Francisco,"Failed Ballet Dancer - Love anything Californian including thinness, suntan, going to the gym and the search for youthfulness. https://t.co/HaJAWMUzA5",26-05-2014 19:18,1511,1507,131,FALSE,25-07-2020 12:25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/h7p44XIzuk",TweetCaster for Android,FALSE,['USA']
APN NEWS,"A-009, SEC-68 , NOIDA","APN NEWS: खबर है तो दिखेगी… Follow us for breaking news from political, sports, business and entertainment arena. https://t.co/nUoC25Uxbe",13-05-2014 09:10,20262,14,1487,FALSE,25-07-2020 12:25,"Testing per 10 lakh population in Jammu and Kashmir has reached 44,744 as against 12,742 in the country; Recovery r… https://t.co/jmxhF67V5V",Twitter Web App,FALSE,['United States']
Fergus McPop,USA,"Love any kind of classic pop, rock, beer or pizzas. https://t.co/HaJAWMUzA5",10-06-2014 21:28,1029,980,81,FALSE,25-07-2020 12:25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/bfel6gyXIq",TweetCaster for Android,FALSE,['U.S. news']
Gus McPop,"Baton Rouge, USA","I love music, any kind of music, I love music, just as long as it's groovin'.
https://t.co/HaJAWMUzA5",07-06-2014 08:27,1204,1191,113,FALSE,25-07-2020 12:25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/eu5g2djZYx",TweetCaster for Android,FALSE,['US']
Barry Grodenchik,"Queens, NY",Queens lifer representing Eastern Queens in the NYC Council. Blessed w Debra & David. Major @Mets fan. Never believe your own press. Weather too!,23-11-2012 16:51,4868,445,31825,FALSE,25-07-2020 12:25,.@nytimes reporting that yesterday 1145 people died of #COVID19 in the USA. Over 73K new cases were reported. Serio… https://t.co/sFwP0v7FEB,Twitter for Android,FALSE,['U.S. news']
CARLINO,"New Orleans, LA",IG Carlino213: Alumni LA Southwest College: Professional Barber : Artist: https://t.co/UrhpWpTUV5,19-04-2015 22:07,11,3,133,FALSE,25-07-2020 12:25,Crazy that the world has come to this but as Americans we will fight to get through this!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 #covid19,Twitter for iPhone,FALSE,['wear mask']
Person woman man camera TV Person woman man camera,,"Around '2000, at a HS reunion, I gave a talk about global warming as intergenerational theft. We're still failing to deal with it.",06-02-2008 04:19,4027,542,105214,FALSE,25-07-2020 12:25,@jimsciutto @JoAnnBaldwin55 People whose relatives have died from #COVID19 should file a class action lawsuit against Sinclair Broadcasting.,Twitter Web App,FALSE,['wash hands']
Coronavirus Updates - Alexander Higgins,,An independent citizen journalist that aggregates and reports on news and political issues with a focus on government corruption and environmental activism.,02-05-2010 03:52,17463,6810,9897,FALSE,25-07-2020 12:25,"US #CoronaVirus: 4,249,584 cases and 148,521 deaths reported in the United States to date.

1,257 new cases and 31… https://t.co/j4TreMnKW5",Alexander Higgins,FALSE,['social distancing']
#IndiaFightsCorona,,Official Government of India updates on #COVID19 by @MIB_India.,31-03-2020 07:41,100214,70,1748,TRUE,25-07-2020 12:25,"#IndiaFightsCorona :

📍 Do you agree that a mask is one of the most powerful accessories we have to fight against t… https://t.co/5VauORkmjG",Twitter Web App,FALSE,['vaccine progress'] 
ᏉᎥ☻լꂅϮ,astroworld,wednesday addams as a disney princess keepin it [̲̅$̲̅(̲̅ιοο̲̅)̲̅$̲̅] 👸🏻💚♊️🧀🌵🌃🌙,26-05-2017 05:46,624,950,18775,FALSE,25-07-2020 12:25,I miss isopropyl alcohol so much!!!! Ethanol in hand sanitizer smells like I poured tequila on my hands 🤢 #COVID19,Twitter for iPhone,FALSE,['Stay at home']
Greater Visakhapatnam Municipal Corporation (GVMC),Visakhapatnam,Official Twitter handle of Greater Visakhapatnam Municipal Corporation. Contact us at 1800 4250 0009.  Follow us at https://t.co/wKGXaJLHrB,27-02-2015 12:09,14357,28,1038,FALSE,25-07-2020 12:25,GVMC sanitation staff carrying out the regular sanitation activities to keep the city clean and prevent the spread… https://t.co/bkrQ5x6BCK,Twitter Web App,FALSE,['social distancing']
Kabir_04,,"a simple human being,trying to play my role on stage of life... ,,,,, #Digitalmarketing #seo #googleads #entrepreneurship",10-06-2014 05:48,431,729,3774,FALSE,25-07-2020 12:25,@SonuSood sir mom is in ICU due to COVID just want prayers from you and everyone who is listening you . #COVID19,Twitter for iPhone,FALSE,['China Coronavirus Updates']
Jazmine❄️,"Marietta, GA",Living Life Too The Fullest Extent 💰✈️😜😈,26-04-2009 04:34,18092,17557,7156,FALSE,25-07-2020 12:25,Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through Cas… https://t.co/3MkuUsGBDk,Twitter for iPhone,FALSE,['Stay at home']
Charles Mapundu,"England, United Kingdom","1 thing have I desired of the Lord, that will I seek after; that I may dwell in the house of the Lord all the days of my life, to behold the beauty of the Lord",22-08-2013 23:18,11,40,192,FALSE,25-07-2020 12:25,"This video had me in stitches
https://t.co/tadF3G6qKJ #obesity #زواج_راكان_الحربي #carryminati #my200vsbutch200… https://t.co/fsZ8NTuVDg",Twitter for Android,FALSE,['China Coronavirus Updates']
Matty A,"New York, NY USA",🇺🇸  Happily Married & a Proud Son of a U.S Navy WW2 Vet RIP Dad Retired NYS Police Officer ALL LIVES MATTER Back The Blue 100% President Trump Supporter MAGA,01-02-2014 21:44,3924,4487,93575,FALSE,25-07-2020 12:25,"See this Instagram post by @facts.covid19 https://t.co/glmd51L1OJ 
facts.covid19 Deaths rates not rising in lockste… https://t.co/SeZieeSxAk",Twitter Web App,FALSE,['China news']
Stephen Williams,"Ballston Spa, NY","Longtime  reporter at @dgazette: Schenectady Co., Saratoga County,  the environment, politics. Confused about whether trying to save the world is worth it.",23-08-2013 14:39,1429,926,1324,FALSE,25-07-2020 12:25,"Local government sales tax revenue dropped 27 percent year-to-year in the second quarter, thanks to #COVID19 shutdo… https://t.co/oDky9LzrV5",Twitter Web App,FALSE,['Wuhan']
anonymous bosch,816 ways to say 'midwest',"chef + food writer. hedonist + misanthrope given to food, drink, music, film, sport + culture. writing ramblings short + long.",13-07-2009 08:31,695,1836,2826,FALSE,25-07-2020 12:25,Look at Lil’ Donny Micro Dick go!! What an astounding achievement of brilliance + cognitive capabilities. Somebody… https://t.co/82aEo6gL3q,Twitter for iPhone,FALSE,['N50']
Lindokuhle Modi,,#GomoraMzansi | #TheQueenMzansi | #SkeemSaam | #Uzalo | #etvScandal | #Muvhango | #Isibaya | #CelebrityMysteryBox,14-04-2020 12:56,69,90,123,FALSE,25-07-2020 12:25,"While you at it, please follow me

https://t.co/KheirQEh6Z

#Fergusons #DurbanJuly #alreadyvideo #COVID19 #WiseUp https://t.co/h1TYdOgjwv",Twitter for Android,FALSE,['China Coronavirus Updates']
Eric aka Chewy Red,"Pennsylvania, USA","Middle ground on this gun issue.  I carry to protect my loved ones and really trust no one to protect them, but me.",27-01-2013 18:17,66,420,586,FALSE,25-07-2020 12:25,"Concealed Nation 1 Million Giveaway https://t.co/HaMym0cBe3 
I put my family's safety before all others, criminals… https://t.co/7QQxVLWqZd",Twitter Web App,FALSE,['Wuhan']
BestValueButtons,"Denver, CO","We are a fabric outlet and specialty button Etsy shop featuring high quality stretch fabrics and unique, designer buttons that are handmade in Colorado, USA.",30-05-2018 19:45,1267,2869,1204,FALSE,25-07-2020 12:25,Check out Angel's beautiful mask and hair bow designs at https://t.co/BpmP8tRs7M #etsy #epiconetsy #masksforsale… https://t.co/fgl69zjMyq,IFTTT,FALSE,['3M9001']
Whitey,In the south.  ,"A keen linguist who loves to learn and share my love of learning. European, British, English, southerner. Liberal Democrat. Non native German speaker.",01-09-2010 07:35,133,615,2106,FALSE,25-07-2020 12:25,"Thread by @DrZoeHyde (based on international research and evidence) 1. Updated thread on children and #COVID19, sum… https://t.co/A1xWVotp75",Twitter for Android,FALSE,['Coronavirus updates']
Thom-Ivar van Dijk,,Student Econometrics & Operations Research | Graphs in R,13-04-2019 16:06,1263,61,706,FALSE,25-07-2020 12:25,"1 municipality reports one new fatality due to #COVID19, compared to yesterday.

1 new fatality is located and 0 fa… https://t.co/6iJ5lV7ZqR",Twitter Web App,FALSE,['N50']
Mumbai Painters,,,08-02-2016 13:35,115,175,21,FALSE,25-07-2020 12:25,"When your home walls need an upgradation, always opt for the experts. Hire #MumbaiPainters and let your walls find… https://t.co/Kb5Yv2ZS9Z",Hootsuite Inc.,FALSE,['N95']
InvestmentGuruIndia,India,"our ambition is to create universal platform 4 investors whereby they get access to news,views & research related to global & local markets all under 1 umbrella",03-04-2015 07:39,15635,35,2,FALSE,25-07-2020 12:25,"Covid to shrink power sector growth, take discoms back to pre-UDAY era

https://t.co/DP5zpNLuUV

#Industry… https://t.co/3ZiFoPdWU8",Twitter Web App,FALSE,['N95']
St. Jude India ChildCare Centres,India,A home away from home for underprivileged families during their child's cancer treatment. Our hygienic & cost-free accommodation is at 38 centres in 9 cities,29-02-2012 12:21,635,371,772,FALSE,25-07-2020 12:25,"#SaturdayVibes: The current situation calls for more awareness and less stress. To facilitate that, families at our… https://t.co/1Qwd523BZp",Twitter Web App,FALSE,['3M8210'] 
IMF,"Washington, DC",Breaking news and alerts from the International Monetary Fund.,18-03-2009 16:13,1695520,444,182,TRUE,25-07-2020 12:25,What economic measures are governments taking to respond to #COVID19? Key actions taken by 193 countries are listed… https://t.co/5FXaZWFaLW,Hootsuite Inc.,FALSE,['Flights'] 
